section,line_no,component,position,material_id,material_description,colour_pantone_hex,supplier_ref,dimension_spec,thickness_mm,density_or_hardness,stitch_type_iso4915,spi,rows,edge_distance_mm,thread_spec,edge_treatment,seam_type,reinforcement_note,adhesive_system,process,logo_application,tolerance,test_standard,compliance_flags,cost_driver_notes,benchmark_value,confidence
UPPER,11,lining,full interior,cmp-lining,spacer mesh zoned,TBD,TBD,per pattern,2-3,n/a,301,8,1,2.0,bonded poly Tex 45,raw,standard,heel pocket abrasion rated,n/a,close,n/a,abrasion min,std-satra-lining-abrasion-family,,zone leather where feel sells,microfiber/mesh/leather options,template
UPPER,12,reflective trim,tongue/toe/heel,brd-scotchlite,retroreflective film,silver,3M,~10-15% upper area,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,HF weld,prc-hf-welding,heat transfer,placement jig,--,,visibility spec,1906R first-party,example-1906r
REINFORCEMENT,13,toe puff,forepart internal,cmp-toe-puff,TPU sheet,n/a,TBD,setback ~30mm,0.6-0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,coverage area per pattern,heat activate,prc-lasting,n/a,shape per last,std-en-iso-20345 if safety,--,,1906R first-party,example-1906r
REINFORCEMENT,14,heel counter,backpart internal,cmp-heel-counter,TPU internal counter,n/a,TBD,height ~60mm,1.2-1.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,internal/external per design,heat activate,prc-back-part-moulding,n/a,backseam ±1mm,std-satra-backpart-family,,stiffness graded,1906R + template column,example-1906r
REINFORCEMENT,15,external heel cage,backpart external,mat-tpu,moulded TPU cage,TBD,TBD,per CAD,wall 0.8-1.2,85 Shore A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,cement+weld,mould+bond,mold detail,fit to counter,std-satra-flex-family,uv-yellowing-risk,aliphatic if clear,1906R first-party,example-1906r
CLOSURE,16,lace,throat,cmp-lace,flat braided polyester,TBD,TBD,6-8mm x 120cm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,length per rows,std-satra-lace-abrasion-family,,tip spec separate,8mm flat example; 7mm 1906R,example-vince
CLOSURE,17,aglet,lace ends,cmp-aglet,acetate wrap,clear,TBD,~15mm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,tip+cure,n/a,pull-off min,--,,metal = premium,template convention,template
TONGUE-BRANDING,18,tongue,throat,cmp-tongue,mesh + PU foam,TBD,TBD,per pattern,6-8 assembled,foam 25-35 kg/m3,301,8,1,2.0,bonded poly Tex 60,folded,standard,gusset optional,n/a,quilt+attach,n/a,±1mm foam,--,,label real estate,mesh + 6mm PU (Specs.pdf),example-vince
TONGUE-BRANDING,19,tongue label,tongue top,n/a,woven or HF badge,TBD,TBD,dimensions + placement per artwork,n/a,n/a,304 if sewn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,HF weld option,attach,woven/HF/printed,placement ±1mm,--,,logo type + placement + size,13-section sheet fields,template
TONGUE-BRANDING,20,logo set,upper/sockliner/outsole/heel tab,n/a,brand marks per artwork files,Pantone refs,TBD,placement map attached,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,apply per method,embossed/printed/woven/moulded,registration AQL,--,,application method per surface,logo application column,template
BOTTOM,21,strobel board,underfoot,cmp-strobel-board,non-woven strobel,n/a,TBD,per last bottom,1.2-1.8,n/a,Strobel overseam,n/a,perimeter,n/a,per machine,n/a,n/a,n/a,n/a,prc-lasting,n/a,seam burst min,std-satra-seam-family,,force-lasted platform,template,template
BOTTOM,22,midsole,full length,mat-eva,CM EVA,TBD,TBD,per tooling,stack per CAD,50-55 Asker C / 0.20 g/cm3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,cement,con-cold-cement,paint spec per colourway,±2 Asker C,std-satra-cushion-family,uv-yellowing-risk,CM vs IP fork,CM EVA (Specs.pdf),example-vince
BOTTOM,23,cushioning tech,heel/forefoot,mat-etpu,pods/air/gel inserts,TBD,TBD,per tooling,per CAD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,encapsulate,mould,n/a,position ±1mm,std-satra-cushion-family,,ABZORB-class slot,cushioning tech field,template
BOTTOM,24,shank / plate,waist,cmp-shank,TPU web or carbon plate,TBD,TBD,per CAD,TPU 2-3 / carbon 1-3,TPU ~95 Shore A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,cement/insert-mould,mould,n/a,torsion target,std-iso-shank-family,,plate = racer tier,carbon 1-3mm FuelCell-class,example-vince
BOTTOM,25,outsole,ground contact,mat-rubber-carbon,carbon rubber heel + blown forefoot,TBD,TBD,per tooling,3.5-5 + lugs,70-80 Shore A band (hard-wear 85-90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,flex grooves + pivot points per CAD,prc-halogenation-priming + PU cement,con-cold-cement,moulded logo,peel min N/mm,std-satra-tm144;std-iso-4649,,dual compound,blown fore + carbon heel (Specs.pdf),example-vince
BOTTOM,26,crash pad,lateral heel,cmp-crash-pad,segmented decoupled pod,TBD,TBD,per tooling,per CAD,softer 5-10 pts,n/a,n/a,n/a,n/a,n/a,n/a,n/a,decouple groove,as outsole,mould,n/a,per CAD,std-satra-cushion-family,,transition tuning,1906R convention,example-1906r
BOTTOM,27,sockliner,underfoot removable,cmp-sockliner,moulded PU + topcloth,TBD,TBD,per last bottom,4-6,~180-250 kg/m3 / 45-55 Shore C,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,mould+topcloth,insole print,fit to last,std-satra-cushion-family,,co-brand option,45-55 Shore C (template),example-vince
ASSEMBLY,28,lasting,whole shoe,con-strobel-force-lasted,strobel force lasting,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,prc-lasting + prc-heat-setting,n/a,drag AQL,--,,combination if structured,template,template
ASSEMBLY,29,sole bond,perimeter,prp-peel-strength,PU cement two-coat,n/a,TBD,full contact,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,primer+cement per MRSL,prc-halogenation-priming,n/a,peel ≥3.0 N/cm incl aged/wet,std-satra-sole-bond-family,mrsl-solvent-rules,water-based note,QC block ≥3.0 N/cm,example-vince
FIT,30,drop,geometry,prp-heel-pitch,heel-to-toe offset,n/a,n/a,per last + stack,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,±1mm,--,,couples with last,drop field (mm),template
FIT,31,weight,sample size,n/a,per-shoe mass target,n/a,n/a,g at sample size,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,±5%,--,,weight budget per tier,weight field,template
FIT,32,size range,grading,n/a,size run + increments,n/a,n/a,range + grade rules,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,per grade rules,--,,tooling per size,grade rules field,template
FIT,33,last shape,fit,n/a,fit type standard/wide/slim,n/a,n/a,per last library,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,--,,width offerings,last fit type field,template
QC,34,stitch tolerance,all seams,prp-spi-stitch-density,SPI conformance,n/a,n/a,per seam spec,n/a,n/a,n/a,7-9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,inspect,n/a,±1 SPI,std-iso-4915-4916,,line audit item,QC block ±1 SPI,example-vince
QC,35,bond strength,sole line,prp-peel-strength,peel verification,n/a,n/a,per bond spec,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,test,n/a,≥3.0 N/cm,std-satra-sole-bond-family,,per production lot,QC block,example-vince
QC,36,colourfastness,upper materials,n/a,dry/wet rub grades,n/a,n/a,grey scale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,test,n/a,dry 4 / wet 3-4,std-satra-crocking-family,,suede highest risk,QC block,example-vince
QC,37,flex testing,whole shoe/sole,std-iso-17707,flex cycles,n/a,n/a,pre-cut growth,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,test,n/a,≥50000 cycles,std-iso-17707,,cold-crack gate,QC block,example-vince
QC,38,outsole abrasion,outsole,prp-abrasion-din,volume loss,n/a,n/a,ISO 4649 drum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,test,n/a,≤150 mm3,std-iso-4649,,corroborates doctrine band,QC block,example-vince
PACKAGING,39,box + dressing,pack,std-rsl-framework,flip-top 250gsm + tissue + care card,per artwork,TBD,box style + print spec,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pack,box print,per artwork,packaging RSL,pvc-restricted-major-brands,heavy metals 100mg/kg sum; silica gel prohibited (NB),flip-top 250gsm (Specs.pdf),example-vince
PACKAGING,40,hangtags/accessories,pack,n/a,tags + extras,per artwork,TBD,per pack plan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pack,printed,per artwork,packaging RSL,,string/pin choices,13-section sheet,template
TIMELINE,41,dates,programme,n/a,sample due / production start / ex-factory,n/a,n/a,three dates,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,per critical path,--,,drives lab-test booking,timeline section,template
VISUAL-REFS,42,attachments,appendix,n/a,sketches/3D + swatches + colour blocking + logo artwork + print/embroidery placement map,n/a,n/a,attach list,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,complete = spec valid,--,,factory ambiguity killer,visual references section,template
COMPLIANCE,43,RSL package,whole shoe,std-rsl-framework,RSL testing per material matrix,n/a,approved labs,seasonal sampling,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,submit TRF,n/a,per RSL,std-rsl-framework,pvc-restricted-major-brands;pfas-phase-out,lab fees per season,RSM framework,template
